agency,fiscal_year,spending
Department of Defense,2012,151413824648
Department of Defense,2013,132010946125
Department of Defense,2014,128651011788
Department of Defense,2015,120425333223
Department of Defense,2016,125523397057
Department of Defense,2017,132188208908
Department of Defense,2018,148701831637
Department of Defense,2019,160019506504
Department of Defense,2020,172578596498
Department of Defense,2021,160606305545
Department of Defense,2022,169671508880
Department of Energy,2012,22222846318
Department of Energy,2013,21324258038
Department of Energy,2014,23017116516
Department of Energy,2015,22810380007
Department of Energy,2016,26166592248
Department of Energy,2017,26829249443
Department of Energy,2018,29372894930
Department of Energy,2019,30466010323
Department of Energy,2020,32862930279
Department of Energy,2021,34446821781
Department of Energy,2022,37747442836
Department of Veterans Affairs,2012,8947016285
Department of Veterans Affairs,2013,9311749167
Department of Veterans Affairs,2014,9943978182
Department of Veterans Affairs,2015,10183109085
Department of Veterans Affairs,2016,12317594245
Department of Veterans Affairs,2017,15868388196
Department of Veterans Affairs,2018,15873240630
Department of Veterans Affairs,2019,17668136227
Department of Veterans Affairs,2020,26360300103
Department of Veterans Affairs,2021,26011250053
Department of Veterans Affairs,2022,28053817987
Department of Health and Human Services,2012,11046347853
Department of Health and Human Services,2013,11808825805
Department of Health and Human Services,2014,13991346107
Department of Health and Human Services,2015,13834299324
Department of Health and Human Services,2016,15134692543
Department of Health and Human Services,2017,15507490112
Department of Health and Human Services,2018,16107784779
Department of Health and Human Services,2019,17038301077
Department of Health and Human Services,2020,10277053953
Department of Health and Human Services,2021,27006934979
Department of Health and Human Services,2022,27074889192
Department of Homeland Security,2012,9095921569
Department of Homeland Security,2013,8768987105
Department of Homeland Security,2014,9074804750
Department of Homeland Security,2015,9962003473
Department of Homeland Security,2016,9661742421
Department of Homeland Security,2017,11305031850
Department of Homeland Security,2018,13739696947
Department of Homeland Security,2019,12955257487
Department of Homeland Security,2020,14112309643
Department of Homeland Security,2021,15151825357
Department of Homeland Security,2022,16686551913
General Services Administration (GSA),2012,7066181634
General Services Administration (GSA),2013,6266798751
General Services Administration (GSA),2014,6018067437
General Services Administration (GSA),2015,6691959250
General Services Administration (GSA),2016,7323217036
General Services Administration (GSA),2017,9701161691
General Services Administration (GSA),2018,10154638536
General Services Administration (GSA),2019,11844002900
General Services Administration (GSA),2020,12652188179
General Services Administration (GSA),2021,13434419585
General Services Administration (GSA),2022,15513425240
Department of State,2012,7017054235
Department of State,2013,6069949153
Department of State,2014,7861495013
Department of State,2015,6937031868
Department of State,2016,7412866377
Department of State,2017,8434892582
Department of State,2018,8619758417
Department of State,2019,8285030621
Department of State,2020,7886267543
Department of State,2021,8583571410
Department of State,2022,10242595624
Department of Justice,2012,4541531957
Department of Justice,2013,5177516197
Department of Justice,2014,5235775250
Department of Justice,2015,6691959250
Department of Justice,2016,5357330602
Department of Justice,2017,5772726749
Department of Justice,2018,5722276793
Department of Justice,2019,6341839971
Department of Justice,2020,6767091691
Department of Justice,2021,7039582764
Department of Justice,2022,6385418295
Department of Transportation,2012,3922472534
Department of Transportation,2013,3695908949
Department of Transportation,2014,3853512018
Department of Transportation,2015,3713405752
Department of Transportation,2016,4362097845
Department of Transportation,2017,4201467388
Department of Transportation,2018,4702205580
Department of Transportation,2019,4600647674
Department of Transportation,2020,5558977497
Department of Transportation,2021,5107743211
Department of Transportation,2022,6325970936
Department of the Interior,2012,3135986755
Department of the Interior,2013,3063378088
Department of the Interior,2014,3517604864
Department of the Interior,2015,3379090184
Department of the Interior,2016,3627804343
Department of the Interior,2017,3612453398
Department of the Interior,2018,3721094600
Department of the Interior,2019,3342733518
Department of the Interior,2020,3870016674
Department of the Interior,2021,4470983069
Department of the Interior,2022,5868451970
Agency for International Development (USAID),2012,4320414831
Agency for International Development (USAID),2013,4075092435
Agency for International Development (USAID),2014,3566378286
Agency for International Development (USAID),2015,4508994629
Agency for International Development (USAID),2016,4410592246
Agency for International Development (USAID),2017,4787210553
Agency for International Development (USAID),2018,4764696980
Agency for International Development (USAID),2019,5160452869
Agency for International Development (USAID),2020,5603752157
Agency for International Development (USAID),2021,5114193403
Agency for International Development (USAID),2022,5453310054
National Aeronautics and Space Administration (NASA),2012,4577101924
National Aeronautics and Space Administration (NASA),2013,3840432350
National Aeronautics and Space Administration (NASA),2014,3479709358
National Aeronautics and Space Administration (NASA),2015,3610491845
National Aeronautics and Space Administration (NASA),2016,3718190211
National Aeronautics and Space Administration (NASA),2017,3800201953
National Aeronautics and Space Administration (NASA),2018,4266999190
National Aeronautics and Space Administration (NASA),2019,4283128817
National Aeronautics and Space Administration (NASA),2020,3958021405
National Aeronautics and Space Administration (NASA),2021,4560317299
National Aeronautics and Space Administration (NASA),2022,4717229578